|sajen|,|sajian|
|salin|,|ganti pakaian|
|saru|,|kasar|
|sarwo|,|serba|
|sasi|,|bulan|
|sedhelok|,|sebentar|
|sedheng|,|cukup|
|sedhengan|,|secukupnya|
|sedo|,|meninggal|
|sedoso|,|sepuluh|
|sego|,|nasi|
|segoro|,|laut|
|selawe|,|dua puluh lima|
|seleh|,|ditaruh|
|sembelih|,|menyembelih|
|semono|,|demikian|
|semono|,|sekian|
|semono|,|sebesar itu|
|seneng|,|senang|
|seneni|,|dimarahi|
|sengrenge|,|matahari|
|separo|,|setengah|
|seprene|,|sampai sekarang|
|seprono|,|sejak dulu|
|seroso|,|maksud|
|sesuk|,|besuk|
|sethithik|,|sedikit|
|setunggal|,|satu|
|sido|,|jadi|
|siji|,|satu|
|sikil|,|kaki|
|sikut|,|siku|
|silih|,|pinjam|
|silihan|,|pinjaman|
|sing|,|yang|
|sinten|,|siapa|
|sirah|,|kepala|
|slamet|,|selamat|
|slametan|,|selamatan|
|slawe|,|dua puluh lima|
|sok|,|sering|
|soko|,|asalnya|
|soko|,|dari|
|sopo|,|siapa|
|sue|,|lama|
|sugih|,|kaya|
|suket|,|rumput|
|sunat|,|khitan|
|sungu|,|tanduk|
|surup|,|petang|
|suson|,|menyusui|
|suwargo|,|surga|
|suwe|,|lama|
|suworo|,|suara|
|suwung|,|kosong|
|takon|,|menanyakan|
|takon|,|bertanya|
|tandur|,|tanam|
|tangi|,|bangun|
|tatu|,|luka|
|tau|,|pernah|
|tekan|,|sampai|
|tekan|,|sampai|
|teken|,|tongkat|
|teko|,|datang|
|telu|,|tiga|
|tembogo|,|tembaga|
|temen|,|sungguh|
|tenan|,|sebenarnya|
|tetak|,|khitan|
|tetuwa|,|sesepuh|
|tibo|,|jatuh|
|tilik|,|menjenguk|
|tlaten|,|tekun|
|tombo|,|obat|
|tonggo|,|tetangga|
|tonton|,|lihat|
|tontonan|,|pertunjukan|
|trasi|,|terasi|
|tuduh|,|memberitahukan|
|tuku|,|beli|
|tumo|,|kutu|
|turah|,|lebih|
|turon|,|tiduran|
|turu|,|tidur|
|tuwa|,|tua|
|ucul|,|lepas|
|udan|,|hujan|
|udud|,|rokok|
|uga|,|juga|
|ugel-ugel|,|pergelangan tangan|
|ujar|,|janji|
|ulem|,|undangan|
|ulo|,|ular|
|umbel|,|ingus|
|umpomo|,|umpama|
|untu|,|gigi|
|urip|,|hidup|
|urung|,|belum|
|utang|,|hutang|
|utomo|,|utama|
|utowo|,|atau|
|uyah|,|garam|
|uyuh|,|kencing|
|wadon|,|putri|
|wae|,|saja|
|wahing|,|bersin|
|wajo|,|baja|
|wani|,|berani|
|waras|,|sembuh|
|wareg|,|kenyang|
|waspodo|,|wasapada|
|watu|,|batu|
|watuk|,|batuk|
|wau|,|tadi|
|wayah|,|waktu|
|wedang|,|minuman|
|wedhus|,|kambing|
|wedok|,|perempuan|
|wektu|,|waktu|
|wenehi|,|diberi|
|wengi|,|malam|
|weruh|,|mengetahui|
|weruh|,|tahu|
|wesi|,|besi|
|weteng|,|perut|
|weton|,|hari kelahiran|
|wicoro|,|bicara|
|wirang|,|malu|
|wis|,|sudah|
|wisuh|,|mencuci tangan kaki|
|wong|,|orang|
|wudel|,|pusar|
|wudo|,|lepas pakaian|
|wulangan|,|pelajaran|
|wuragil|,|bungsu|
|wutuh|,|utuh|
|wuwuh|,|bertambah|
|wuwuhan|,|tambahan|
|yen|,|jika|
|nek|,|jika|
|mlebu|,|masuk|
|koe|,|kamu|
|ra|,|tidak|
|sego|,|nasi|
|bakul|,|penjual|
|rung|,|belum|
