user,text,latitude,longitude
WILDANTAUHID,"We are CULIKERS..
.
#merapi #explorejogja #familygathering #kupingers @ Gunung Merapi https://t.co/0buIzPlUzA",-7.76626277,110.3386225
nieken_ismadi,#choipan #dimsum #yamiesingkawang #hautse ?? @ Yamie Ceker Laris https://t.co/5ysWDYWjXk,-7.81422357,110.368536
arie7rose,Hmmm.. ? Shape of You by Ed Sheeran (with AniekaLinda at Dixie Easy Dining) ? https://t.co/TR6RzIIt1k,-7.76985,110.39069
ngamelz,I'm at Menara Tahfidz-Qu in Yogyakarta https://t.co/GntKNciZW3,-7.76245308,110.38928223
finizaaa,Happy graduation mbak Sulis tercintaaa.. semoga ilmunya bermanfaat bagi nusa dan bangsa dan? https://t.co/ZReXwTGahG,-7.80138889,110.36444444
IbnuuRianda,Leren sik sedino mbabu hahaaa (at PT. Kusuma Agrowisata) ? https://t.co/F4XPyvnQdq,-7.76386,110.35606
thaliagupitaa,"Gentone xixi (with Damas, yosep, and 3 others at Alun - Alun Kidul) [pic] ? https://t.co/Jk2W51dZIh",-7.81262,110.36342
thaliagupitaa,"Gentone xixi (with Damas, yosep, and 3 others at Alun - Alun Kidul) [pic] ? https://t.co/Jk2W51dZIh",-7.81262,110.36342
lekanmulana,Just posted a photo @ Student Park Apartment https://t.co/shWWXr4L4F,-7.77211217,110.40993041
LippoPlazaJogja,@jcoindonesia  -  Regram from @JcoPHtweets We're gonna keep it short and sweet: YUM! #Alcapone? https://t.co/GxujbKHO6t,-7.78339142,110.39069608
NopitaTarigan,"Sah jadi anak jogja walaupun ga nyampe dua bulan.. ??
See you again jogja... Saya pasti? (w/ Julius at @jog_ap1) ? https://t.co/2wokAe66qv",-7.78603,110.43696
Annisasdfghjkl_,Sndri saja (at @kfcindonesia) ? https://t.co/0OFfaimUM1,-7.78561,110.43645
renggasch,yaallah? (with Bapak at Intermediate Care Unit RS Dr Sardjito) ? https://t.co/OQYuidbYjq,-7.76801,110.37402
AO_Hamdani,Kenapa saya memilih kota ini untuk melanjutkan studi ? Pertanyaan itu selalu? (at Yogyakarta) [pic] ? https://t.co/CMD0yZICRh,-7.7709,110.41518
Dheazzz,"Dopping (with Irna, Hartati, and 2 others at Starbucks Coffee Malioboro) ? https://t.co/QgWvlx9mnr",-7.79491,110.36528
LippoPlazaJogja,"Let?s have a?? to ?. #ILoveJCOFFEE #HotCafeLatte -
@jcoindonesia 
GF Lippo Plaza Jogja @ Lippo? https://t.co/qZqn2jONbe",-7.78339142,110.39069608
Riayulia26,Happy Birthday genks... (with ClassA at @waroengsteak) [pic] ? https://t.co/mg7mOVRzdR,-7.81307,110.37631
IchaAstari,I just finished running 4.54 km in 38m:14s with #Endomondo #endorphins https://t.co/fk9nCTHsVp,-7.783153,110.375505
StevanyD,"??? (with Rafika, Lutfia, and Alvan at @grandastonjogja) ? https://t.co/DC2K2x4Xap",-7.78279,110.3818
LauraDP_,Masa iya di ajakinnya ke mall terus dari tadi ? (at @plazaambarrukmo) ? https://t.co/4ZB3AwGR8k,-7.78254,110.40125
priskaw_sw,"Happy National Music Day ???

#MusicDay #happymusicday @ Yogyakarta https://t.co/FiTIZQCDiB",-7.80138889,110.36444444
puan_faiqoh,Sepatu rods x jogging (with Agatha at @jogjaexpocenter) ? https://t.co/V3B1efoA8U,-7.79971,110.40331
si_abdi,With Ayu  at @borobudurpark [pic] ? https://t.co/L5MyMbHRom,-7.81936,110.3724
kakang_sansan,melihat CEO ussi group. KOPINDO. ada dalam ruang yang sama. bener membuat terharu. #ussi? https://t.co/5fg6YtMAIu,-7.78805556,110.43166667
Andri_Ghozali,"Usek nomer 6, 1-5 pancasilla ? (with Devano, Rio, and 5 others at Dolano Futsal) ? https://t.co/DFfSzKq0Cb",-7.81119,110.33642
aderida,??? @ Grand Aston Yogyakarta https://t.co/gFQ8Q1M99D,-7.78259876,110.38193362
indriankoto,"Salah satu puisi @mutiasukma yang akan segera terbit di awal bulan april. 

Pesan ya. @ Jualan? https://t.co/QcRmi9KgDy",-7.8048661,110.367554
Rekahpd,"Hi??
.
40/365
#hi #instadaily #vscocam @ Atma Jaya University, Yogyakarta https://t.co/masFIJGUBX",-7.78138256,110.4204899
megadeha,"""If you look at what you have in life, you?ll always have more. If you look at what you don?t? https://t.co/RrdOGJl8ZR",-7.81788,110.36818
